,time,type
130,143,retweet
131,143,retweet
132,145,retweet
133,145,retweet
134,145,retweet
135,146,reply
136,146,retweet
137,148,retweet
138,149,retweet
139,152,retweet
140,152,reply
141,153,retweet
142,154,retweet
143,155,retweet
144,155,retweet
145,156,reply
146,158,retweet
147,159,retweet
148,161,retweet
149,162,retweet
150,163,retweet
151,166,retweet
152,166,message
153,166,retweet
154,168,retweet
155,170,retweet
156,171,reply
157,172,reply
158,174,retweet
159,174,retweet
160,175,retweet
161,176,retweet
162,176,retweet
163,177,retweet
164,178,retweet
165,179,reply
166,179,reply
167,184,reply
168,184,retweet
169,188,retweet
170,189,retweet
171,190,retweet
172,190,retweet
173,190,retweet
174,191,retweet
175,191,retweet
176,191,retweet
177,191,retweet
178,192,retweet
179,192,retweet
180,192,retweet
181,192,retweet
182,192,retweet
183,193,retweet
184,193,retweet
185,193,retweet
186,193,retweet
187,193,retweet
188,194,retweet
189,194,retweet
190,194,retweet
191,194,retweet
192,194,retweet
193,195,retweet
194,195,retweet
195,195,retweet
196,195,retweet
197,196,retweet
198,196,retweet
199,196,retweet
200,197,retweet
201,198,retweet
202,198,reply
203,199,retweet
204,200,retweet
205,200,reply
206,202,retweet
207,204,retweet
208,204,reply
209,205,retweet
210,206,reply
211,207,message
212,208,reply
213,209,retweet
214,213,retweet
215,213,retweet
216,214,retweet
217,214,retweet
218,215,retweet
219,215,retweet
220,215,retweet
221,215,retweet
222,216,retweet
223,216,retweet
224,216,retweet
225,216,retweet
226,216,retweet
227,216,retweet
228,216,retweet
229,216,retweet
230,216,reply
231,216,retweet
232,216,retweet
233,217,retweet
234,217,retweet
235,217,retweet
236,217,retweet
237,218,retweet
238,220,retweet
239,224,reply
240,224,retweet
241,225,retweet
242,225,reply
243,225,retweet
244,225,retweet
245,228,retweet
246,229,retweet
247,231,reply
248,233,retweet
249,233,retweet
250,233,retweet
251,236,retweet
252,236,retweet
253,239,retweet
254,240,reply
255,242,retweet
256,242,retweet
257,242,retweet
258,244,message
259,246,retweet
260,248,retweet
261,248,message
262,248,retweet
263,250,reply
264,250,retweet
265,251,retweet
266,255,message
267,259,retweet
268,259,retweet
269,259,retweet
270,261,retweet
271,261,reply
272,262,reply
273,263,retweet
274,263,retweet
275,264,retweet
276,264,retweet
277,268,retweet
278,268,retweet
279,269,retweet
280,271,retweet
281,274,retweet
282,276,retweet
283,277,retweet
284,281,retweet
285,282,reply
286,284,retweet
287,284,retweet
288,296,reply
289,296,retweet
290,301,retweet
291,301,retweet
292,303,retweet
293,303,reply
294,311,retweet
295,311,retweet
296,314,retweet
297,314,reply
298,315,retweet
299,315,retweet
300,317,retweet
301,317,retweet
302,318,retweet
303,319,reply
304,325,retweet
305,327,retweet
306,331,retweet
307,331,reply
308,332,message
309,333,retweet
310,333,retweet
311,334,retweet
312,340,message
313,340,retweet
314,340,reply
315,341,retweet
316,343,retweet
317,344,retweet
318,345,retweet
319,346,retweet
320,349,retweet
321,353,reply
322,354,reply
323,354,reply
324,354,retweet
325,356,retweet
326,358,retweet
327,358,retweet
328,361,retweet
329,362,retweet
330,363,retweet
331,364,message
332,365,retweet
333,365,message
334,366,message
335,366,retweet
336,366,retweet
337,368,reply
338,369,message
339,371,reply
340,375,reply
341,375,retweet
342,375,retweet
343,375,retweet
344,376,retweet
345,377,retweet
346,379,retweet
347,381,retweet
348,382,reply
349,382,reply
350,382,retweet
351,384,retweet
352,385,retweet
353,386,retweet
354,387,retweet
355,387,retweet
356,387,retweet
357,387,reply
358,389,retweet
359,394,reply
360,395,retweet
361,396,retweet
362,396,retweet
363,397,retweet
364,398,reply
365,398,retweet
366,398,retweet
367,402,retweet
368,403,retweet
369,403,reply
370,404,retweet
371,405,retweet
372,408,retweet
373,410,retweet
374,411,retweet
375,412,retweet
376,412,reply
377,413,retweet
378,415,reply
379,416,retweet
380,418,retweet
381,420,retweet
382,421,message
383,424,retweet
384,425,retweet
385,425,retweet
386,431,retweet
387,433,retweet
388,433,retweet
389,438,retweet
390,441,reply
391,443,retweet
392,445,retweet
393,447,retweet
394,450,reply
395,451,retweet
396,453,retweet
397,453,reply
398,454,retweet
399,457,retweet
400,459,retweet
401,463,retweet
402,464,retweet
403,465,retweet
404,467,retweet
405,468,reply
406,468,retweet
407,469,reply
408,469,retweet
409,469,retweet
410,470,retweet
411,472,retweet
412,473,reply
413,473,retweet
414,473,retweet
415,473,reply
416,476,retweet
417,476,retweet
418,477,retweet
419,481,retweet
420,482,reply
421,482,retweet
422,483,reply
423,484,retweet
424,486,retweet
425,486,reply
426,488,retweet
427,489,retweet
428,490,retweet
429,490,reply
430,491,retweet
431,491,retweet
432,492,retweet
433,496,retweet
434,498,retweet
435,499,retweet
436,500,reply
437,500,retweet
438,500,retweet
439,501,retweet
440,504,retweet
441,504,retweet
442,506,retweet
443,506,reply
444,508,retweet
445,508,retweet
446,512,retweet
447,513,reply
448,514,retweet
449,515,reply
450,516,retweet
451,516,retweet
452,516,retweet
453,518,retweet
454,520,retweet
455,521,retweet
456,521,retweet
457,522,reply
458,525,retweet
459,525,retweet
460,527,retweet
461,527,retweet
462,529,retweet
463,530,reply
464,531,retweet
465,532,message
466,534,reply
467,534,retweet
468,534,message
469,535,retweet
470,535,retweet
471,538,retweet
472,540,retweet
473,542,retweet
474,545,retweet
475,545,retweet
476,546,retweet
477,547,reply
478,548,retweet
479,552,retweet
480,552,retweet
481,554,retweet
482,558,retweet
483,561,retweet
484,563,retweet
485,563,reply
486,569,retweet
487,570,retweet
488,572,retweet
489,577,retweet
490,579,retweet
491,585,retweet
492,587,retweet
493,589,retweet
494,592,reply
495,596,retweet
496,599,retweet
497,600,retweet
498,601,reply
499,602,retweet
500,603,retweet
501,603,retweet
502,603,retweet
503,603,retweet
504,603,retweet
505,603,retweet
506,603,retweet
507,603,retweet
508,603,retweet
509,603,retweet
510,603,retweet
511,603,retweet
512,603,retweet
513,603,retweet
514,603,retweet
515,603,retweet
516,603,retweet
517,603,retweet
518,603,retweet
519,603,retweet
520,603,retweet
521,603,retweet
522,603,retweet
523,604,retweet
524,604,retweet
525,604,retweet
526,604,retweet
527,604,retweet
528,604,retweet
529,604,retweet
530,604,retweet
531,604,retweet
532,604,retweet
533,604,retweet
534,604,retweet
535,604,retweet
536,604,retweet
537,604,retweet
538,604,retweet
539,604,retweet
540,604,retweet
541,604,retweet
542,604,retweet
543,604,retweet
544,605,retweet
545,605,retweet
546,605,retweet
547,605,retweet
548,611,retweet
549,611,retweet
550,612,retweet
551,612,retweet
552,612,retweet
553,613,retweet
554,613,retweet
555,617,retweet
556,626,reply
557,627,retweet
558,629,retweet
559,633,retweet
560,634,retweet
561,636,retweet
562,637,reply
563,640,reply
564,646,retweet
565,650,retweet
566,650,retweet
567,652,reply
568,652,reply
569,654,retweet
570,661,retweet
571,664,reply
572,665,retweet
573,665,retweet
574,666,reply
575,667,retweet
576,669,retweet
577,670,retweet
578,673,retweet
579,677,reply
580,677,retweet
581,678,retweet
582,678,reply
583,679,retweet
584,680,reply
585,681,retweet
586,683,retweet
587,691,retweet
588,696,reply
589,696,retweet
590,696,message
591,699,retweet
592,699,retweet
593,699,reply
594,700,retweet
595,701,retweet
596,701,retweet
597,701,reply
598,702,retweet
599,705,retweet
600,706,reply
601,706,retweet
602,706,reply
603,709,reply
604,709,reply
605,713,reply
606,717,reply
607,720,retweet
608,722,retweet
609,722,reply
610,723,reply
611,724,retweet
612,726,reply
613,728,retweet
614,729,retweet
615,732,reply
616,735,reply
617,735,retweet
618,735,reply
619,738,reply
620,739,retweet
621,741,reply
622,741,retweet
623,741,reply
624,746,retweet
625,747,reply
626,748,reply
627,748,retweet
628,751,reply
629,753,reply
630,757,retweet
631,760,retweet
632,761,reply
633,763,retweet
634,763,reply
635,764,retweet
636,767,retweet
637,769,retweet
638,770,reply
639,770,retweet
640,770,retweet
641,772,retweet
642,774,retweet
643,777,retweet
644,778,reply
645,779,message
646,781,retweet
647,781,retweet
648,782,retweet
649,782,retweet
650,784,message
651,785,retweet
652,787,retweet
653,789,reply
654,789,reply
655,790,retweet
656,791,retweet
657,791,retweet
658,792,retweet
659,795,reply
660,796,retweet
661,796,retweet
662,797,retweet
663,798,retweet
664,805,retweet
665,806,reply
666,806,retweet
667,809,retweet
668,817,retweet
669,829,retweet
670,831,reply
671,835,message
672,838,retweet
673,839,retweet
674,841,reply
675,844,retweet
676,844,retweet
677,845,retweet
678,845,retweet
679,847,reply
680,847,retweet
681,848,reply
682,849,retweet
683,850,retweet
684,854,retweet
685,854,retweet
686,855,retweet
687,859,retweet
688,859,reply
689,864,retweet
690,864,retweet
691,868,retweet
692,869,message
693,870,retweet
694,872,reply
695,874,reply
696,877,reply
697,878,retweet
698,879,reply
699,880,retweet
700,884,retweet
701,886,reply
702,886,retweet
703,889,reply
704,889,retweet
705,891,reply
706,891,retweet
707,892,retweet
708,892,retweet
709,896,retweet
710,896,retweet
711,896,retweet
712,897,retweet
713,899,reply
714,901,retweet
715,903,reply
716,905,retweet
717,911,retweet
718,913,retweet
719,913,retweet
720,915,retweet
721,915,retweet
722,916,retweet
723,921,retweet
724,924,retweet
725,925,reply
726,926,reply
727,927,reply
728,927,reply
729,927,reply
730,928,retweet
731,935,retweet
732,936,retweet
733,937,retweet
734,937,retweet
735,940,retweet
736,941,reply
737,942,retweet
738,946,retweet
739,946,reply
740,947,retweet
741,949,retweet
742,951,retweet
743,953,message
744,953,reply
745,958,retweet
746,959,retweet
747,959,retweet
748,961,retweet
749,962,retweet
750,962,retweet
751,963,reply
752,963,retweet
753,964,reply
754,965,retweet
755,966,reply
756,967,retweet
757,967,retweet
758,967,retweet
759,967,retweet
760,967,retweet
761,967,retweet
762,967,retweet
763,968,reply
764,968,retweet
765,968,retweet
766,968,retweet
767,968,retweet
768,968,retweet
769,968,message
770,968,retweet
771,969,retweet
772,969,retweet
773,969,retweet
774,969,retweet
775,969,retweet
776,969,retweet
777,969,retweet
778,969,retweet
779,970,retweet
780,970,retweet
781,970,retweet
782,970,retweet
783,970,retweet
784,970,retweet
785,970,retweet
786,971,retweet
787,971,retweet
788,971,retweet
789,971,retweet
790,972,retweet
791,972,retweet
792,972,retweet
793,972,retweet
794,972,retweet
795,972,retweet
796,972,retweet
797,972,retweet
798,973,retweet
799,973,retweet
800,973,retweet
801,973,retweet
802,973,retweet
803,974,retweet
804,974,retweet
805,974,message
806,974,retweet
807,974,reply
808,974,retweet
809,974,retweet
810,974,retweet
811,974,retweet
812,974,retweet
813,975,retweet
814,977,retweet
815,977,retweet
816,978,retweet
817,979,retweet
818,979,reply
819,980,reply
820,980,reply
821,980,retweet
822,982,retweet
823,984,retweet
824,985,reply
825,991,retweet
826,993,retweet
827,994,reply
828,996,retweet
829,996,reply
830,997,retweet
831,999,retweet
832,1000,message
833,1001,retweet
834,1002,retweet
835,1002,retweet
836,1005,retweet
837,1007,reply
838,1010,retweet
839,1010,reply
840,1011,retweet
841,1011,reply
842,1013,message
843,1017,reply
844,1020,reply
845,1022,message
846,1023,retweet
847,1024,reply
848,1027,retweet
849,1030,retweet
850,1030,reply
851,1030,retweet
852,1031,reply
853,1032,retweet
854,1034,reply
855,1035,retweet
856,1036,retweet
857,1037,retweet
858,1037,retweet
859,1038,retweet
860,1039,reply
861,1040,retweet
862,1040,retweet
863,1040,reply
864,1041,reply
865,1044,retweet
866,1050,retweet
867,1050,retweet
868,1050,reply
869,1051,retweet
870,1052,reply
871,1054,retweet
872,1056,retweet
873,1059,reply
874,1060,retweet
875,1060,retweet
876,1061,retweet
877,1063,retweet
878,1068,reply
879,1068,retweet
880,1069,retweet
881,1069,retweet
882,1071,reply
883,1076,retweet
884,1076,retweet
885,1078,retweet
886,1078,retweet
887,1080,reply
888,1082,message
889,1084,retweet
890,1084,retweet
891,1085,reply
892,1086,retweet
893,1086,retweet
894,1086,retweet
895,1087,retweet
896,1088,retweet
897,1088,retweet
898,1089,retweet
899,1090,reply
900,1092,reply
901,1093,retweet
902,1093,retweet
903,1094,retweet
904,1096,reply
905,1097,retweet
906,1097,retweet
907,1098,reply
908,1098,retweet
909,1098,retweet
910,1102,retweet
911,1104,reply
912,1105,retweet
913,1105,retweet
914,1106,reply
915,1107,retweet
916,1107,retweet
917,1108,retweet
918,1111,retweet
919,1112,retweet
920,1117,reply
921,1118,retweet
922,1120,message
923,1123,reply
924,1124,reply
925,1125,retweet
926,1125,reply
927,1125,retweet
928,1126,retweet
929,1129,retweet
930,1129,retweet
931,1129,retweet
932,1132,retweet
933,1133,retweet
934,1134,retweet
935,1135,retweet
936,1135,retweet
937,1136,retweet
938,1137,retweet
939,1140,message
940,1143,retweet
941,1144,retweet
942,1144,retweet
943,1144,retweet
944,1146,retweet
945,1147,retweet
946,1148,retweet
947,1152,retweet
948,1153,reply
949,1153,retweet
950,1153,retweet
951,1156,retweet
952,1156,retweet
953,1156,retweet
954,1157,retweet
955,1157,retweet
956,1157,retweet
957,1159,retweet
958,1160,reply
959,1161,reply
960,1161,retweet
961,1162,retweet
962,1164,retweet
963,1164,retweet
964,1165,retweet
965,1167,retweet
966,1168,retweet
967,1171,reply
968,1171,reply
969,1173,retweet
970,1175,retweet
971,1175,reply
972,1175,retweet
973,1176,retweet
974,1179,retweet
975,1180,retweet
976,1182,retweet
977,1186,retweet
978,1186,retweet
979,1186,reply
980,1187,retweet
981,1189,reply
982,1189,retweet
983,1190,reply
984,1190,retweet
985,1192,retweet
986,1192,reply
987,1193,retweet
988,1195,retweet
989,1196,retweet
990,1196,retweet
991,1196,retweet
992,1198,retweet
993,1199,retweet
994,1201,retweet
995,1203,message
996,1203,retweet
997,1206,retweet
998,1210,retweet
999,1213,retweet
1000,1216,reply
1001,1216,reply
1002,1216,retweet
1003,1218,retweet
1004,1225,retweet
1005,1227,retweet
1006,1227,retweet
1007,1228,reply
1008,1229,retweet
1009,1230,reply
1010,1231,reply
1011,1235,retweet
1012,1236,retweet
1013,1237,message
1014,1237,retweet
1015,1239,retweet
1016,1240,reply
1017,1243,retweet
1018,1244,retweet
1019,1247,retweet
1020,1249,reply
1021,1250,reply
1022,1250,retweet
1023,1251,retweet
1024,1253,reply
1025,1253,reply
1026,1255,retweet
1027,1255,retweet
1028,1258,retweet
1029,1264,retweet
1030,1264,retweet
1031,1264,retweet
1032,1265,reply
1033,1269,retweet
1034,1271,retweet
1035,1273,retweet
1036,1273,message
1037,1274,reply
1038,1274,message
1039,1275,reply
1040,1275,retweet
1041,1277,retweet
1042,1278,retweet
1043,1282,retweet
1044,1287,retweet
1045,1290,reply
1046,1291,retweet
1047,1291,retweet
1048,1291,reply
1049,1292,reply
1050,1295,retweet
1051,1296,retweet
1052,1298,retweet
1053,1298,retweet
1054,1300,retweet
1055,1300,retweet
1056,1304,retweet
1057,1306,reply
1058,1307,retweet
1059,1308,retweet
1060,1311,retweet
1061,1313,retweet
1062,1317,retweet
1063,1317,retweet
1064,1319,reply
1065,1319,retweet
1066,1319,retweet
1067,1321,reply
1068,1324,retweet
1069,1324,retweet
1070,1325,retweet
1071,1326,reply
1072,1326,retweet
1073,1328,reply
1074,1329,retweet
1075,1329,retweet
1076,1330,retweet
1077,1332,retweet
1078,1333,retweet
1079,1334,retweet
1080,1335,reply
1081,1336,retweet
1082,1336,reply
1083,1336,retweet
1084,1338,reply
1085,1339,retweet
1086,1340,retweet
1087,1340,reply
1088,1342,retweet
1089,1346,retweet
1090,1350,retweet
1091,1351,retweet
1092,1351,retweet
1093,1355,retweet
1094,1355,retweet
1095,1357,retweet
1096,1357,retweet
1097,1358,retweet
1098,1359,retweet
1099,1360,reply
1100,1361,retweet
1101,1362,retweet
1102,1363,reply
1103,1363,retweet
1104,1366,retweet
1105,1367,retweet
1106,1367,retweet
1107,1368,retweet
1108,1369,retweet
1109,1369,retweet
1110,1370,retweet
1111,1371,retweet
1112,1374,retweet
1113,1374,retweet
1114,1376,reply
1115,1377,retweet
1116,1377,retweet
1117,1379,message
1118,1380,retweet
1119,1381,message
1120,1383,retweet
1121,1383,message
1122,1384,retweet
1123,1384,retweet
1124,1385,retweet
1125,1385,retweet
1126,1385,retweet
1127,1385,retweet
1128,1385,retweet
1129,1385,retweet
1130,1385,retweet
1131,1385,retweet
1132,1385,retweet
1133,1386,retweet
1134,1386,retweet
1135,1386,retweet
1136,1386,retweet
1137,1386,retweet
1138,1386,retweet
1139,1386,retweet
1140,1386,retweet
1141,1386,retweet
1142,1387,retweet
1143,1387,retweet
1144,1387,retweet
1145,1387,retweet
1146,1387,retweet
1147,1387,retweet
1148,1387,retweet
1149,1387,retweet
1150,1387,retweet
1151,1387,retweet
1152,1387,retweet
1153,1388,retweet
1154,1388,retweet
1155,1388,retweet
1156,1388,retweet
1157,1388,retweet
1158,1388,retweet
1159,1388,retweet
1160,1388,retweet
1161,1388,retweet
1162,1388,retweet
1163,1388,retweet
1164,1388,retweet
1165,1389,retweet
1166,1389,retweet
1167,1389,retweet
1168,1389,retweet
1169,1389,retweet
1170,1389,retweet
1171,1389,retweet
1172,1390,retweet
1173,1390,retweet
1174,1391,retweet
1175,1392,reply
1176,1393,retweet
1177,1397,retweet
1178,1398,retweet
1179,1398,retweet
1180,1400,retweet
1181,1400,message
1182,1401,retweet
1183,1401,reply
1184,1403,message
1185,1403,retweet
1186,1403,retweet
1187,1404,retweet
1188,1404,reply
1189,1405,retweet
1190,1405,retweet
1191,1405,retweet
1192,1405,retweet
1193,1408,reply
1194,1409,retweet
1195,1409,reply
1196,1409,retweet
1197,1410,retweet
1198,1410,retweet
1199,1411,retweet
1200,1412,retweet
1201,1413,retweet
1202,1414,retweet
1203,1417,retweet
1204,1417,reply
1205,1417,retweet
1206,1418,retweet
1207,1420,retweet
1208,1422,retweet
1209,1423,retweet
1210,1424,retweet
1211,1426,retweet
1212,1427,retweet
1213,1431,retweet
1214,1431,retweet
1215,1435,retweet
1216,1435,reply
1217,1436,retweet
1218,1436,retweet
1219,1438,retweet
1220,1438,retweet
1221,1438,retweet
1222,1439,retweet
1223,1439,retweet
1224,1439,retweet
1225,1442,retweet
1226,1443,retweet
1227,1443,retweet
1228,1443,retweet
1229,1445,retweet
1230,1445,reply
1231,1447,retweet
1232,1447,retweet
1233,1448,retweet
1234,1449,reply
1235,1450,retweet
1236,1452,retweet
1237,1452,retweet
1238,1455,retweet
1239,1455,retweet
1240,1457,retweet
1241,1458,retweet
1242,1459,retweet
1243,1460,retweet
1244,1460,retweet
1245,1460,retweet
1246,1460,reply
1247,1462,retweet
1248,1464,reply
1249,1464,retweet
1250,1466,retweet
1251,1466,retweet
1252,1469,retweet
1253,1472,retweet
1254,1476,retweet
1255,1476,retweet
1256,1476,retweet
1257,1480,retweet
1258,1482,retweet
1259,1482,retweet
1260,1483,retweet
1261,1483,retweet
1262,1484,retweet
1263,1486,retweet
1264,1487,retweet
1265,1487,reply
1266,1490,retweet
1267,1491,retweet
1268,1492,retweet
1269,1494,reply
1270,1497,retweet
1271,1499,retweet
1272,1500,retweet
1273,1501,retweet
1274,1502,retweet
1275,1504,reply
1276,1504,retweet
1277,1505,retweet
1278,1505,retweet
1279,1506,retweet
1280,1507,retweet
1281,1507,reply
1282,1508,retweet
1283,1509,retweet
1284,1510,retweet
1285,1511,retweet
1286,1511,reply
1287,1513,retweet
1288,1514,retweet
1289,1514,retweet
1290,1514,reply
1291,1516,reply
1292,1521,retweet
1293,1521,retweet
1294,1522,retweet
1295,1524,retweet
1296,1524,reply
1297,1526,retweet
1298,1528,retweet
1299,1529,retweet
1300,1531,reply
1301,1533,retweet
1302,1533,reply
1303,1535,retweet
1304,1536,reply
1305,1536,reply
1306,1542,retweet
1307,1544,retweet
1308,1546,retweet
1309,1547,retweet
1310,1547,retweet
1311,1547,retweet
1312,1548,reply
1313,1549,retweet
1314,1549,reply
1315,1550,retweet
1316,1552,message
1317,1552,retweet
1318,1552,retweet
1319,1556,retweet
1320,1560,retweet
1321,1561,retweet
1322,1563,retweet
1323,1564,reply
1324,1564,retweet
1325,1565,retweet
1326,1567,retweet
1327,1568,retweet
1328,1568,retweet
1329,1569,retweet
1330,1571,retweet
1331,1572,retweet
1332,1573,reply
1333,1573,retweet
1334,1574,retweet
1335,1576,retweet
1336,1576,retweet
1337,1577,retweet
1338,1578,retweet
1339,1578,retweet
1340,1578,reply
1341,1578,retweet
1342,1580,retweet
1343,1580,reply
1344,1581,retweet
1345,1582,retweet
1346,1583,retweet
1347,1584,retweet
1348,1585,retweet
1349,1587,retweet
1350,1589,reply
1351,1589,retweet
1352,1589,retweet
1353,1590,retweet
1354,1591,retweet
1355,1593,retweet
1356,1595,retweet
1357,1595,reply
1358,1599,retweet
1359,1600,retweet
1360,1601,retweet
1361,1602,retweet
1362,1602,reply
1363,1603,retweet
1364,1605,retweet
1365,1606,retweet
1366,1606,retweet
1367,1607,retweet
1368,1608,reply
1369,1608,retweet
1370,1608,retweet
1371,1609,retweet
1372,1613,retweet
1373,1617,retweet
1374,1620,retweet
1375,1620,retweet
1376,1621,retweet
1377,1621,message
1378,1623,retweet
1379,1624,message
1380,1627,retweet
1381,1627,retweet
1382,1632,retweet
1383,1633,retweet
1384,1635,retweet
1385,1635,retweet
1386,1636,retweet
1387,1636,retweet
1388,1638,retweet
1389,1639,retweet
1390,1639,retweet
1391,1639,retweet
1392,1641,retweet
1393,1642,retweet
1394,1642,reply
1395,1644,retweet
1396,1645,retweet
1397,1646,retweet
1398,1646,retweet
1399,1648,retweet
1400,1650,retweet
1401,1650,retweet
1402,1651,retweet
1403,1651,retweet
1404,1652,retweet
1405,1653,retweet
1406,1654,retweet
1407,1657,retweet
1408,1657,retweet
1409,1658,retweet
1410,1660,retweet
1411,1660,retweet
1412,1663,retweet
1413,1663,reply
1414,1663,retweet
1415,1664,retweet
1416,1665,reply
1417,1667,reply
1418,1667,reply
1419,1667,retweet
1420,1667,retweet
1421,1667,retweet
1422,1669,retweet
1423,1671,retweet
1424,1672,retweet
1425,1674,retweet
1426,1675,retweet
1427,1679,reply
1428,1680,retweet
1429,1680,retweet
1430,1681,retweet
1431,1682,retweet
1432,1682,retweet
1433,1683,message
1434,1683,retweet
1435,1684,retweet
1436,1685,retweet
1437,1686,reply
1438,1686,retweet
1439,1688,retweet
1440,1693,retweet
1441,1696,reply
1442,1696,retweet
1443,1699,retweet
1444,1699,reply
1445,1699,retweet
1446,1700,retweet
1447,1700,message
1448,1700,message
1449,1701,reply
1450,1701,retweet
1451,1702,retweet
1452,1705,retweet
1453,1710,reply
1454,1712,retweet
1455,1714,retweet
1456,1715,retweet
1457,1716,retweet
1458,1717,retweet
1459,1717,retweet
1460,1717,retweet
1461,1719,retweet
1462,1720,retweet
1463,1722,reply
1464,1722,retweet
1465,1724,retweet
1466,1724,reply
1467,1725,reply
1468,1725,message
1469,1726,retweet
1470,1726,reply
1471,1726,retweet
1472,1727,retweet
1473,1729,retweet
1474,1729,retweet
1475,1729,retweet
1476,1729,retweet
1477,1732,retweet
1478,1732,retweet
1479,1733,retweet
1480,1737,retweet
1481,1737,retweet
1482,1743,retweet
1483,1743,retweet
1484,1744,retweet
1485,1746,retweet
1486,1746,reply
1487,1746,retweet
1488,1746,retweet
1489,1746,retweet
1490,1746,retweet
1491,1747,retweet
1492,1747,retweet
1493,1747,retweet
1494,1747,retweet
1495,1747,retweet
1496,1747,retweet
1497,1747,reply
1498,1747,retweet
1499,1747,retweet
1500,1747,retweet
1501,1747,retweet
1502,1748,retweet
1503,1748,retweet
1504,1748,retweet
1505,1748,retweet
1506,1748,retweet
1507,1748,retweet
1508,1748,retweet
1509,1748,retweet
1510,1748,retweet
1511,1748,retweet
1512,1748,retweet
1513,1749,retweet
1514,1749,retweet
1515,1749,retweet
1516,1749,retweet
1517,1749,retweet
1518,1749,retweet
1519,1749,retweet
1520,1749,retweet
1521,1750,retweet
1522,1750,retweet
1523,1750,retweet
1524,1750,retweet
1525,1750,retweet
1526,1751,retweet
1527,1751,retweet
1528,1751,retweet
1529,1751,retweet
1530,1751,retweet
1531,1751,retweet
1532,1752,retweet
1533,1753,retweet
1534,1754,retweet
1535,1755,message
1536,1757,retweet
1537,1757,retweet
1538,1758,retweet
1539,1759,retweet
1540,1759,retweet
1541,1760,reply
1542,1763,retweet
1543,1765,reply
1544,1765,retweet
1545,1766,retweet
1546,1768,retweet
1547,1769,retweet
1548,1774,retweet
1549,1776,retweet
1550,1776,retweet
1551,1780,retweet
1552,1783,reply
1553,1783,reply
1554,1785,retweet
1555,1786,retweet
1556,1786,retweet
1557,1786,retweet
1558,1787,retweet
1559,1788,message
1560,1788,retweet
1561,1790,retweet
1562,1791,retweet
1563,1792,retweet
1564,1793,retweet
1565,1794,retweet
1566,1794,retweet
1567,1798,reply
1568,1800,retweet
1569,1801,reply
1570,1807,retweet
1571,1808,retweet
1572,1809,retweet
1573,1810,reply
1574,1810,retweet
1575,1813,retweet
1576,1813,retweet
1577,1815,reply
1578,1816,retweet
1579,1816,retweet
1580,1817,retweet
1581,1817,retweet
1582,1817,retweet
1583,1817,reply
1584,1819,retweet
1585,1819,reply
1586,1820,retweet
1587,1821,reply
1588,1823,retweet
1589,1823,retweet
1590,1824,retweet
1591,1828,retweet
1592,1832,reply
1593,1832,reply
1594,1836,reply
1595,1836,retweet
1596,1839,retweet
1597,1839,retweet
1598,1839,reply
1599,1842,retweet
1600,1843,retweet
1601,1843,retweet
1602,1844,retweet
1603,1845,retweet
1604,1846,retweet
1605,1848,reply
1606,1848,reply
1607,1849,reply
1608,1850,retweet
1609,1854,retweet
1610,1855,retweet
1611,1856,message
1612,1857,retweet
1613,1857,retweet
1614,1860,reply
1615,1861,retweet
1616,1862,retweet
1617,1862,retweet
1618,1862,retweet
1619,1865,retweet
1620,1866,retweet
